# Title

"title.buttons.nebula" : "星云舰"
"title.label.nebula" : "Ciallo～(∠・ω< )⌒★"

"title.label.discord" : "点击加入Discord！"

"title.buttons.update" : "mod版本更新"
"title.buttons.achievements" : "成就"
"title.buttons.addons" : "扩展包"
"title.buttons.developersStudio" : "开发工具"
"title.buttons.marketplace" : "市场"

# Certification

"certification.waiting" : "检查中。。。"
"certification.waiting.detail" : "检查玩家版本和安装的NoS。"
"certification.waiting.client" : "检查玩家版本和安装的NoS。"
"certification.uncertified" : "未经认证"
"certification.uncertified.detail" : "此玩家未安装NoS。"
"certification.uncertified.client" : "请勿参与未安装NoS的原版游戏。"
"certification.unmatchedEpoch" : "不匹配的时代"
"certification.unmatchedEpoch.detail" : "这个玩家安装的NoS版本与我们的版本相去甚远<br>指导他们从<b>GitHub</b>获取相同版本的NoS。"
"certification.unmatchedEpoch.client" : "主机安装的NoS版本与您的版本相去甚远<br>从GitHub获取相同版本的NoS！"
"certification.unmatchedBuild" : "不匹配的版本"
"certification.unmatchedBuild.detail" : "此玩家安装了不同版本的NoS<br>引导他们从<b>GitHub</b>获取相同版本的NoS。"
"certification.unmatchedBuild.client" : "主机安装了不同版本的NoS<br>从<b>GitHub</b>获取相同版本的NoS！"
"certification.unmatchedAddon" : "不匹配的插件"
"certification.unmatchedAddon.detail" : "此玩家的附加配置不同<br>某些附加组件必须由每个人安装。"
"certification.unmatchedAddon.client" : "附加组件配置不同<br>某些附加组件必须由每个人安装。"

# UI

"ui.dialog.yes" : "是的"
"ui.dialog.no" : "不"
"ui.dialog.ok" : "好的"
"ui.dialog.exit" : "退出"
"ui.common.loading" : "正在加载。。。"
"ui.update.waitFinishing" : "等待更新。。。"
"ui.update.finishUpdate" : "更新完成<br>请重新启动游戏。"
"ui.update.autoUpdate" : "已启用自动更新。"
"ui.document.tooLongNesting" : "[更新耗时过长。]"
"ui.citation.openUrl" : "单击打开链接。"
"ui.meeting.leftClick" : "左键单击：使用能力"
"ui.meeting.rightClick": "右键单击：更改能力"
"ui.configuration.click" : "左键单击：打开配置<br>右键单击：复制角色摘要"
"ui.configuration.copied" : "已复制！"
"ui.discordWebhook.title" : "Discord Webhook"
"ui.discordWebhook.current" : "当前URL"
"ui.discordWebhook.urlFromClipboard" : "粘贴URL"
"ui.discordWebhook.failedPasteUrl" : "粘贴Webhook URL失败。"
"ui.discordWebhook.autoSend" : "自动发送（仅限主机）"
"ui.discordWebhook.determine" : "确定"
"ui.discordWebhook.send" : "发送"
"ui.dragAndDrop" : "将文件拖放到此处"

"ui.attribute.accel" : "你可以移动得更快。"
"ui.attribute.decel" : "你移动得更慢了。"
"ui.attribute.inverse" : "您沿键盘输入的相反方向移动。"
"ui.attribute.invisible" : "别人看不见你。"
"ui.attribute.size" : "你的体型会改变。"
"ui.attribute.curseOfBloody" : "你会留下一段时间的血迹。"
"ui.attribute.isolation" : "您在管理室和生命体征仪中看不到它。"
"ui.attribute.busker" : "生命体征仪显示你还活着。"
"ui.attribute.flip" : "屏幕翻转。"
"ui.attribute.screenSize" : "屏幕的视野扩大。"
"ui.attribute.eyesight" : "你的视野会扩大。"
"ui.attribute.rough" : "你的屏幕看起来很粗糙。"
"ui.attribute.thurifer" : "你受到了丹炉的烟的影响。"

"ui.button.mainAction" : "行动"
"ui.button.aidAction" : "子动作"

"ui.action.cleaner.clean" : "清理尸体<br>杀戮冷却将从动作开始。"
"ui.action.destroyer.kill" : "站在玩家旁边，把他们碾碎。"
"ui.action.disturber.place" : "放置电杆<br>电线杆应该放得很近。"
"ui.action.disturber.disturb" : "在杆子之间竖起一道屏障<br>干扰结束后，最旧的电杆将被折断。"
"ui.action.trapper.place" : "放置陷阱。"
"ui.action.trapper.switch" : "将陷阱的类型切换到适当的位置。"
"ui.action.illusioner.sample" : "对玩家采样。"
"ui.action.illusioner.paint" : "把玩家变成采样的外形。"
"ui.action.illusioner.morph" : "变形成采样的外形。"
"ui.action.illusioner.switch" : "切换行为<br>在绘画和变形能力之间切换。"
"ui.action.marionette.place" : "放置一个木偶。"
"ui.action.marionette.destroy" : "摧毁木偶。"
"ui.action.marionette.monitor" : "在你和木偶之间切换相机。"
"ui.action.marionette.swap" : "在你和木偶之间交换位置。"
"ui.action.marionette.switch" : "切换行为<br>在切换相机和交换功能之间切换。"
"ui.action.raider.equip" : "装备或收起斧头。"
"ui.action.raider.kill" : "扔装备好的斧头。"
"ui.action.sniper.equip" : "装备或收起步枪。"
"ui.action.sniper.kill" : "用步枪射击。"
"ui.action.stirrer.stir" : "对玩家施幻，获得费用。"
"ui.action.stirrer.fakeSabo" : "消耗费用造成幻觉。"
"ui.action.ubiquitous.drone" : "召唤一架无人机<br>或者在无人机和您之间切换摄像头。"
"ui.action.ubiquitous.doorHack" : "撬开附近的门。"
"ui.action.paparazzo.camera" : "拍张照片。"
"ui.action.paparazzo.toggle" : "改变摄像机的方向。"
"ui.action.mouseClick" : "点击玩家附近也可以触发动作。"
"ui.action.danceAction" : "由微小的摆动动作触发（↑↑↓↓←←→→）。"
"ui.action.cannon.mark" : "标记空气炮将发射的位置。"
"ui.action.cannon.cannon" : "打开特殊地图，启动空气炮。"

# Versions

"version.category.all" : "全部"
"version.category.major" : "稳定版"
"version.category.snapshot" : "快照"
"version.category.preRelease" : "预发布"
"version.category.custom" : "自定义"
"version.category.unknown" : "未知"
"version.category.auto" : "自动"
"version.fetching.autoUpdate.major" : "最新稳定版"
"version.fetching.autoUpdate.snapshot" : "最新快照"
"version.fetching.gainPackage" : "安装"
"version.fetching.setAutoUpdate" : "安装"
"version.fetching.current" : "当前"
"version.fetching.mismatched" : "不匹配"
"version.fetching.applied" : "应用"

# Game Mode

"gamemode.standard" : "标准"
"gamemode.hostMode" : "主机模式"
"gamemode.freeplay" : "自由模式"

# Notification

"notification.lobby.noTitleForFreeplay" : "在自由游戏中无法获得头衔。"
"notification.lobby.noTitleForOP" : "在拥有OP权限的游戏中，无法获得头衔。"

# Options

"options.switch.off" : "关"
"options.switch.on" : "开"
"options.percentage" : "%"
"options.cross" : "x"
"options.sec" : "秒"
"options.followPrimaryChance" : "-"
"options.inactivated" : "已停用"

"options.gamemode" : "游戏模式"

"options.tab.vanilla" : "原版设置"
"options.tab.setting" : "游戏[设置]"
"options.tab.crewmate" : "[船员]角色"
"options.tab.impostor" : "[冒名顶替者]角色"
"options.tab.neutral" : "[中立]角色"
"options.tab.ghost" : "[幽灵]角色"
"options.tab.modifier" : "[修饰器]"

"options.assignment" : "任务选项"
"options.assignment.detail" : "关于角色分配的数量"
